Event Id,Chip Name,Timestamp,Item Id
7673RR,disposeShelf,2017-12-19 23:58:18,34r
7722RR,disposeShelf,2017-12-20 00:31:18,9r
7733RR,disposeShelf,2017-12-20 00:40:18,35r
7735RR,disposeShelf,2017-12-20 00:42:18,66r
7745RR,disposeShelf,2017-12-20 00:49:18,52r
7746RR,disposeShelf,2017-12-20 00:49:18,59r
7750RR,disposeShelf,2017-12-20 00:52:18,53r
7756RR,disposeShelf,2017-12-20 00:57:18,38r
7784RR,disposeShelf,2017-12-20 01:38:18,13r
7805RR,disposeShelf,2017-12-20 01:57:18,70r
7822RR,disposeShelf,2017-12-20 02:11:18,99r
7826RR,disposeShelf,2017-12-20 02:13:18,72r
7847RR,disposeShelf,2017-12-20 02:50:18,86r
7865RR,disposeShelf,2017-12-20 03:10:18,25r
7884RR,disposeShelf,2017-12-20 03:28:18,47r
7886RR,disposeShelf,2017-12-20 03:30:18,90r
7911RR,disposeShelf,2017-12-20 04:09:18,30r
7924RR,disposeShelf,2017-12-20 04:21:18,23r
7950RR,disposeShelf,2017-12-20 04:51:18,56r
7962RR,disposeShelf,2017-12-20 05:06:18,93r
7967RR,disposeShelf,2017-12-20 05:13:18,37r
7993RR,disposeShelf,2017-12-20 05:43:18,32r
8010RR,disposeShelf,2017-12-20 06:03:18,20r
8024RR,disposeShelf,2017-12-20 06:22:18,81r
8031RR,disposeShelf,2017-12-20 06:29:18,26r
8070RR,disposeShelf,2017-12-20 07:27:18,17r
8074RR,disposeShelf,2017-12-20 07:29:18,74r
8095RR,disposeShelf,2017-12-20 07:49:18,76r
8097RR,disposeShelf,2017-12-20 07:52:18,24r
8115RR,disposeShelf,2017-12-20 08:14:18,40r
8127RR,disposeShelf,2017-12-20 08:23:18,10r
8132RR,disposeShelf,2017-12-20 08:32:18,87r
8157RR,disposeShelf,2017-12-20 09:12:18,92r
8183RR,disposeShelf,2017-12-20 09:51:18,21r
8196RR,disposeShelf,2017-12-20 10:16:18,0r
8215RR,disposeShelf,2017-12-20 10:48:18,60r
8236RR,disposeShelf,2017-12-20 11:06:18,84r
8247RR,disposeShelf,2017-12-20 11:20:18,80r
8256RR,disposeShelf,2017-12-20 11:34:18,96r
8267RR,disposeShelf,2017-12-20 11:49:18,5r
8315RR,disposeShelf,2017-12-20 12:33:18,49r
8323RR,disposeShelf,2017-12-20 12:36:18,43r
8333RR,disposeShelf,2017-12-20 12:47:18,89r
8341RR,disposeShelf,2017-12-20 12:53:18,63r
8359RR,disposeShelf,2017-12-20 13:10:18,39r
8374RR,disposeShelf,2017-12-20 13:24:18,44r
8388RR,disposeShelf,2017-12-20 13:39:18,1r
8401RR,disposeShelf,2017-12-20 13:52:18,61r
8410RR,disposeShelf,2017-12-20 14:02:18,15r
8433RR,disposeShelf,2017-12-20 14:44:18,12r
8447RR,disposeShelf,2017-12-20 15:12:18,83r
8486RR,disposeShelf,2017-12-20 16:06:18,62r
8495RR,disposeShelf,2017-12-20 16:15:18,41r
8525RR,disposeShelf,2017-12-20 16:46:18,27r
8530RR,disposeShelf,2017-12-20 16:50:18,50r
8535RR,disposeShelf,2017-12-20 16:53:18,77r
8548RR,disposeShelf,2017-12-20 17:08:18,16r
8556RR,disposeShelf,2017-12-20 17:18:18,4r
8587RR,disposeShelf,2017-12-20 18:03:18,73r
8592RR,disposeShelf,2017-12-20 18:10:18,55r
8611RR,disposeShelf,2017-12-20 18:32:18,28r
8622RR,disposeShelf,2017-12-20 18:41:18,29r
8642RR,disposeShelf,2017-12-20 19:05:18,7r
8655RR,disposeShelf,2017-12-20 19:19:18,19r
8658RR,disposeShelf,2017-12-20 19:20:18,9r
8692RR,disposeShelf,2017-12-20 19:58:18,64r
8714RR,disposeShelf,2017-12-20 20:27:18,94r
8724RR,disposeShelf,2017-12-20 20:35:18,88r
8730RR,disposeShelf,2017-12-20 20:41:18,6r
8752RR,disposeShelf,2017-12-20 20:58:18,58r
8776RR,disposeShelf,2017-12-20 21:21:18,18r
8786RR,disposeShelf,2017-12-20 21:27:18,36r
8795RR,disposeShelf,2017-12-20 21:32:18,78r
8809RR,disposeShelf,2017-12-20 21:52:18,91r
8829RR,disposeShelf,2017-12-20 22:17:18,51r
8852RR,disposeShelf,2017-12-20 22:38:18,82r
8858RR,disposeShelf,2017-12-20 22:43:18,48r
8860RR,disposeShelf,2017-12-20 22:46:18,31r
8871RR,disposeShelf,2017-12-20 22:57:18,69r
8891RR,disposeShelf,2017-12-20 23:24:18,75r
8923RR,disposeShelf,2017-12-20 23:56:18,67r
8934RR,disposeShelf,2017-12-21 00:04:18,3r
8939RR,disposeShelf,2017-12-21 00:10:18,68r
8951RR,disposeShelf,2017-12-21 00:30:18,71r
9013RR,disposeShelf,2017-12-21 02:02:18,97r
9017RR,disposeShelf,2017-12-21 02:06:18,65r
9029RR,disposeShelf,2017-12-21 02:15:18,54r
9043RR,disposeShelf,2017-12-21 02:27:18,35r
9080RR,disposeShelf,2017-12-21 03:02:18,8r
9101RR,disposeShelf,2017-12-21 03:25:18,45r
9103RR,disposeShelf,2017-12-21 03:26:18,18r
9112RR,disposeShelf,2017-12-21 03:38:18,2r
