Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
35RP,2017-12-29 12:26:13,2017-12-29 12:29:13,move shelf from dock,process activity,robot,7r,shelf,0s,2272
253RP,2017-12-29 12:27:13,2017-12-29 12:35:13,putdown current shelf,process activity,robot,2r,shelf,0s,2275
132RP,2017-12-29 12:30:13,2017-12-29 12:40:13,move shelf from dock,process activity,robot,6r,shelf,7s,2278
25RP,2017-12-29 12:36:13,2017-12-29 12:42:13,putdown current shelf,process activity,robot,9r,shelf,2s,2282
278RP,2017-12-29 12:30:13,2017-12-29 12:44:13,reduce speed,process activity,robot,4r,shelf,10s,2279
278RP,2017-12-29 12:15:13,2017-12-29 12:44:13,move shelf to dock,process activity,robot,4r,shelf,10s,2258
253RP,2017-12-29 12:35:13,2017-12-29 12:49:13,go to approriate shelf,process activity,robot,2r,shelf,13s,2281
25RP,2017-12-29 12:43:13,2017-12-29 12:57:13,go to approriate shelf,process activity,robot,9r,shelf,24s,2287
25RP,2017-12-29 12:58:13,2017-12-29 13:02:13,move shelf to dock,process activity,robot,9r,shelf,24s,2300
278RP,2017-12-29 12:51:13,2017-12-29 13:05:13,move shelf from dock,process activity,robot,4r,shelf,10s,2294
25RP,2017-12-29 13:08:13,2017-12-29 13:10:13,move shelf from dock,process activity,robot,9r,shelf,24s,2306
253RP,2017-12-29 13:01:13,2017-12-29 13:15:13,reduce speed,process activity,robot,2r,shelf,13s,2301
253RP,2017-12-29 12:50:13,2017-12-29 13:15:13,move shelf to dock,process activity,robot,2r,shelf,13s,2292
253RP,2017-12-29 13:23:13,2017-12-29 13:37:13,move shelf from dock,process activity,robot,2r,shelf,13s,2315
101RP,2017-12-29 13:33:13,2017-12-29 13:37:13,putdown current shelf,process activity,robot,8r,shelf,0s,2318
101RP,2017-12-29 13:38:13,2017-12-29 13:46:13,go to approriate shelf,process activity,robot,8r,shelf,2s,2319
